"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"Resort Hotel","SMOTE","Validation",0.817933697244042,0.676416369669411,0.659872916916437,0.668042238135696,0.872832455597791
"Resort Hotel","SMOTE","Test",0.81819089456869,0.670212765957447,0.679611650485437,0.674879485806106,0.875515064584515
"Resort Hotel","DownSample","Validation",0.783817068299827,0.580288796102992,0.799784198537346,0.672581539547311,0.873336906031338
"Resort Hotel","DownSample","Test",0.745007987220447,0.524540540540541,0.872348076231571,0.655144477450716,0.875679970736365
