"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"City Hotel","SMOTE","Validation",0.814551505067312,0.853801169590643,0.670372160463992,0.751049140381752,0.879065800866054
"City Hotel","SMOTE","Test",0.814904452175667,0.845047205155103,0.681367810536491,0.754431734564185,0.879258454522571
"City Hotel","DownSample","Validation",0.814551505067312,0.853801169590643,0.670372160463992,0.751049140381752,0.879065800866054
"City Hotel","DownSample","Test",0.814904452175667,0.845047205155103,0.681367810536491,0.754431734564185,0.879258454522571
