"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"Resort Hotel","SMOTE","Validation",0.827919052056983,0.706849315068493,0.649562402589618,0.67699612645258,0.879325803470502
"Resort Hotel","SMOTE","Test",0.826477635782748,0.694227188081937,0.670262495505214,0.682034394438346,0.883375988759742
"Resort Hotel","DownSample","Validation",0.791738783118093,0.592803705023156,0.797985853015226,0.680259594256222,0.880310508747471
"Resort Hotel","DownSample","Test",0.744808306709265,0.523992322456814,0.883495145631068,0.657831325301205,0.884218038933855
