"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"Resort Hotel","SMOTE","Validation",0.797794117647059,0.625,0.616438356164384,0.620689655172414,0.853789495422317
"Resort Hotel","SMOTE","Test",0.807688311688312,0.694954128440367,0.560903369122547,0.620774431468961,0.845942411512436
"Resort Hotel","DownSample","Validation",0.797794117647059,0.628571428571429,0.602739726027397,0.615384615384615,0.854994148826323
"Resort Hotel","DownSample","Test",0.809662337662338,0.710615608337373,0.542761940022214,0.615449202350966,0.844621062742665
