"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"Resort Hotel","SMOTE","Validation",0.813797923322684,0.682470119521912,0.61596548004315,0.647514647514647,0.871112149850886
"Resort Hotel","SMOTE","Test",0.797424121405751,0.617133956386293,0.712333692916217,0.661325321315306,0.870283767305392
"Resort Hotel","DownSample","Validation",0.813797923322684,0.682470119521912,0.61596548004315,0.647514647514647,0.871112149850886
"Resort Hotel","DownSample","Test",0.797424121405751,0.617133956386293,0.712333692916217,0.661325321315306,0.870283767305392
