"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"City Hotel","SMOTE","Validation",0.834630350194553,0.909090909090909,0.663507109004739,0.767123287671233,0.871318411461999
"City Hotel","SMOTE","Test",0.770601229350749,0.794540419359093,0.65177412375595,0.716111012063945,0.840248839932769
"City Hotel","DownSample","Validation",0.82295719844358,0.87037037037037,0.66824644549763,0.756032171581769,0.873516024588241
"City Hotel","DownSample","Test",0.767143680368805,0.782273603082852,0.658805711813068,0.715250455105996,0.840780683768924
