"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"City Hotel","SMOTE","Validation",0.814198557958957,0.853099523150285,0.670130497825036,0.750625972795561,0.878804153017513
"City Hotel","SMOTE","Test",0.816770029748399,0.844259863541976,0.687771870468825,0.758023704887468,0.879551734728738
"City Hotel","DownSample","Validation",0.814198557958957,0.853099523150285,0.670130497825036,0.750625972795561,0.878804153017513
"City Hotel","DownSample","Test",0.816770029748399,0.844259863541976,0.687771870468825,0.758023704887468,0.879551734728738
