"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"City Hotel","SMOTE","Validation",0.811284046692607,0.809782608695652,0.706161137440758,0.754430379746835,0.840379772574414
"City Hotel","SMOTE","Test",0.756674990395697,0.75226476627612,0.673734314149719,0.710837185413457,0.81809557747022
"City Hotel","DownSample","Validation",0.797665369649806,0.780104712041885,0.706161137440758,0.741293532338308,0.840379772574414
"City Hotel","DownSample","Test",0.750864387245486,0.73791647114031,0.680441367373431,0.708014407924358,0.81809557747022
