"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"Resort Hotel","SMOTE","Validation",0.805147058823529,0.651515151515151,0.589041095890411,0.618705035971223,0.851208095270875
"Resort Hotel","SMOTE","Test",0.792207792207792,0.65393061045235,0.551277304701962,0.598232221775814,0.829207109462208
"Resort Hotel","DownSample","Validation",0.783088235294118,0.58974358974359,0.63013698630137,0.609271523178808,0.85217181799408
"Resort Hotel","DownSample","Test",0.775584415584416,0.591108117211182,0.649759348389485,0.619047619047619,0.829580230143488
