"Hotel","Method","Dataset","Accuracy","Precision","Recall","F1_Score","AUC"
"Resort Hotel","SMOTE","Validation",0.8125,0.648648648648649,0.657534246575342,0.653061224489796,0.854374612789977
"Resort Hotel","SMOTE","Test",0.802805194805195,0.677891005759858,0.566456867826731,0.617184348527632,0.846310345506115
"Resort Hotel","DownSample","Validation",0.805147058823529,0.628205128205128,0.671232876712329,0.649006622516556,0.851999724650651
"Resort Hotel","DownSample","Test",0.792,0.628256880733945,0.633839318770826,0.631035753778105,0.847041828870964
